,Word,Count
0,alice,19.162253249879633
1,day,1.203659123736158
2,white,1.4443909484833894
3,rabbit,2.262879152623977
4,eyes,1.3962445835339432
5,time,3.2739528165623497
6,looked,2.1665864227250844
7,moment,1.492537313432836
8,cat,1.7814155031295138
9,mouse,2.0702936928261915
10,door,1.4443909484833894
11,head,2.407318247472316
12,poor,1.2999518536350505
13,minute,1.0110736639383726
14,heard,1.4443909484833894
15,duchess,2.0221473278767452
16,voice,2.311025517573423
17,tone,1.9258545979778527
18,replied,1.3962445835339432
19,caterpillar,1.348098218584497
20,queen,3.610977371208474
21,hatter,2.696196437168994
22,march,1.6369764082811749
23,hare,1.492537313432836
24,dormouse,1.9258545979778527
25,king,3.033220991815118
26,mock,2.696196437168994
27,turtle,2.8406355320173327
28,gryphon,2.6480500722195472
